OrderID;SupplierID;MaterialID;OrderDate;PromisedDeliveryDate;ActualDeliveryDate;Quantity;UnitPrice;TotalPrice;DeliveryStatus;DelayReasonID
2;18;1060;29.7.25;9.8.25;9.8.25;461;116.6;53752,6;On-Time;
3;3;1060;26.11.24;1.12.24;1.12.24;259;102.42;26526,78;On-Time;
4;18;1131;23.7.25;1.8.25;1.8.25;169;184.02;31099,38;On-Time;
5;7;1081;2.11.24;21.11.24;21.11.24;325;100.15;32548,75;On-Time;
6;13;1160;23.6.24;1.7.24;1.7.24;261;291.01;75953,61;On-Time;
7;14;1192;4.8.25;20.8.25;20.8.25;127;16.46;2090,42;On-Time;
8;11;1031;15.2.25;26.2.25;26.2.25;215;94.85;20392,75;On-Time;
9;10;1128;7.8.25;11.8.25;11.8.25;337;64.2;21635,4;On-Time;
10;15;1023;9.2.25;23.2.25;23.2.25;62;274.08;16992,96;On-Time;
12;1;1120;16.8.24;31.8.24;31.8.24;449;66.01;29638,49;On-Time;
13;8;1152;1.9.24;15.9.24;15.9.24;207;177.13;36665,91;On-Time;
14;17;1036;4.7.25;23.7.25;23.7.25;133;125.06;16632,98;On-Time;
15;11;1090;6.1.24;19.1.24;19.1.24;408;152.01;62020,08;On-Time;
16;8;1199;8.5.25;14.5.25;14.5.25;459;59.71;27406,89;On-Time;
18;15;1170;20.8.25;31.8.25;31.8.25;373;192.56;71824,88;On-Time;
20;19;1102;14.1.24;30.1.24;30.1.24;157;90.14;14151,98;On-Time;
21;5;1009;20.3.25;8.4.25;8.4.25;48;17.45;837,6;On-Time;
22;15;1053;23.9.24;28.9.24;28.9.24;459;12.94;5939,46;On-Time;
23;10;1055;22.2.24;10.3.24;10.3.24;179;259.78;46500,62;On-Time;
24;14;1159;11.4.24;17.4.24;17.4.24;20;223.33;4466,6;On-Time;
25;18;1142;20.6.25;9.7.25;9.7.25;165;31.12;5134,8;On-Time;
26;18;1021;2.8.24;20.8.24;20.8.24;141;95.43;13455,63;On-Time;
27;6;1197;10.5.24;18.5.24;18.5.24;145;82.14;11910,3;On-Time;
30;5;1121;12.11.24;21.11.24;21.11.24;477;49.6;23659,2;On-Time;
31;3;1194;22.1.25;29.1.25;29.1.25;7;17.44;122,08;On-Time;
32;4;1185;19.8.24;28.8.24;28.8.24;437;167.98;73407,26;On-Time;
34;13;1194;24.6.25;2.7.25;2.7.25;232;75.15;17434,8;On-Time;
35;8;1123;13.7.24;26.7.24;26.7.24;133;7.79;1036,07;On-Time;
37;17;1178;15.1.25;2.2.25;2.2.25;281;132.3;37176,3;On-Time;
38;11;1186;30.9.24;4.10.24;4.10.24;15;229.57;3443,55;On-Time;
39;13;1093;10.5.24;30.5.24;30.5.24;295;164.79;48613,05;On-Time;
42;7;1140;23.5.24;31.5.24;31.5.24;146;225.56;32931,76;On-Time;
44;17;1013;29.1.24;3.2.24;3.2.24;289;64.39;18608,71;On-Time;
45;15;1065;22.4.24;12.5.24;12.5.24;12;259.73;3116,76;On-Time;
46;13;1109;5.8.25;21.8.25;21.8.25;391;129.13;50489,83;On-Time;
47;7;1113;15.7.24;30.7.24;30.7.24;369;21.22;7830,18;On-Time;
48;2;1154;14.2.25;18.2.25;18.2.25;496;143.08;70967,68;On-Time;
49;19;1011;20.2.25;12.3.25;12.3.25;243;162.97;39601,71;On-Time;
51;13;1113;30.6.25;6.7.25;6.7.25;71;167.15;11867,65;On-Time;
53;14;1191;18.3.25;7.4.25;7.4.25;378;47.1;17803,8;On-Time;
54;10;1055;6.7.25;12.7.25;12.7.25;303;136.18;41262,54;On-Time;
55;20;1071;5.3.25;12.3.25;12.3.25;211;152.6;32198,6;On-Time;
56;12;1131;30.4.24;17.5.24;17.5.24;134;201.55;27007,7;On-Time;
58;13;1129;7.1.25;27.1.25;27.1.25;127;105.93;13453,11;On-Time;
59;20;1047;14.12.24;23.12.24;23.12.24;427;185.37;79152,99;On-Time;
60;18;1166;28.5.25;6.6.25;6.6.25;140;25.47;3565,8;On-Time;
61;1;1007;27.8.24;4.9.24;4.9.24;236;86.31;20369,16;On-Time;
62;2;1088;31.1.24;18.2.24;18.2.24;277;291.6;80773,2;On-Time;
63;3;1077;31.3.24;3.4.24;3.4.24;355;176.95;62817,25;On-Time;
64;5;1013;15.5.25;4.6.25;4.6.25;500;51.87;25935;On-Time;
67;5;1064;14.5.24;28.5.24;28.5.24;104;213.47;22200,88;On-Time;
69;20;1193;2.9.24;17.9.24;17.9.24;303;17.57;5323,71;On-Time;
70;18;1092;3.8.24;7.8.24;7.8.24;31;244.12;7567,72;On-Time;
71;5;1166;24.7.25;30.7.25;30.7.25;12;162.44;1949,28;On-Time;
72;17;1129;11.5.25;28.5.25;28.5.25;246;14.89;3662,94;On-Time;
73;9;1177;22.2.25;2.3.25;2.3.25;436;22.05;9613,8;On-Time;
74;9;1158;15.5.24;24.5.24;24.5.24;397;27.94;11092,18;On-Time;
75;16;1118;10.1.25;27.1.25;27.1.25;386;193.32;74621,52;On-Time;
76;17;1135;3.11.24;8.11.24;8.11.24;70;71.81;5026,7;On-Time;
77;21;1057;30.6.25;6.7.25;6.7.25;123;153.59;18891,57;On-Time;
79;20;1066;30.1.25;14.2.25;14.2.25;449;298.79;134156,71;On-Time;
81;15;1135;6.10.24;17.10.24;17.10.24;70;58.53;4097,1;On-Time;
83;3;1114;18.4.24;5.5.24;5.5.24;97;120.13;11652,61;On-Time;
84;20;1056;6.4.25;15.4.25;15.4.25;338;168.89;57084,82;On-Time;
85;8;1001;5.5.25;22.5.25;22.5.25;80;109.6;8768;On-Time;
86;15;1199;6.2.25;24.2.25;24.2.25;211;167.27;35293,97;On-Time;
88;18;1041;17.10.24;30.10.24;30.10.24;465;235.18;109358,7;On-Time;
89;13;1168;22.5.24;26.5.24;26.5.24;207;172.82;35773,74;On-Time;
91;16;1023;7.5.24;20.5.24;20.5.24;468;181.45;84918,6;On-Time;
92;15;1010;7.6.25;23.6.25;23.6.25;46;286.57;13182,22;On-Time;
94;21;1018;10.1.24;27.1.24;27.1.24;313;290.44;90907,72;On-Time;
96;16;1144;19.8.24;4.9.24;4.9.24;70;287.78;20144,6;On-Time;
97;11;1112;3.11.24;14.11.24;14.11.24;380;278.7;105906;On-Time;
98;8;1190;7.4.25;26.4.25;26.4.25;349;258.75;90303,75;On-Time;
101;4;1194;22.11.24;25.11.24;25.11.24;479;151.84;72731,36;On-Time;
102;20;1135;15.1.24;4.2.24;4.2.24;61;49.53;3021,33;On-Time;
103;12;1186;19.1.24;29.1.24;29.1.24;421;214.2;90178,2;On-Time;
104;8;1185;29.7.24;13.8.24;13.8.24;298;134.55;40095,9;On-Time;
105;21;1078;20.3.25;3.4.25;3.4.25;283;259.98;73574,34;On-Time;
106;21;1186;17.2.25;25.2.25;25.2.25;245;145.92;35750,4;On-Time;
108;7;1044;19.3.25;30.3.25;30.3.25;382;188.34;71945,88;On-Time;
109;5;1183;24.4.25;1.5.25;1.5.25;438;87.18;38184,84;On-Time;
110;14;1177;10.7.25;22.7.25;22.7.25;396;140.78;55748,88;On-Time;
111;8;1119;2.1.24;18.1.24;18.1.24;106;150.08;15908,48;On-Time;
112;14;1056;16.8.25;30.8.25;30.8.25;462;198.65;91776,3;On-Time;
113;5;1187;22.9.24;10.10.24;10.10.24;491;115.4;56661,4;On-Time;
114;2;1038;31.8.24;17.9.24;17.9.24;498;243.48;121253,04;On-Time;
115;21;1186;24.5.25;30.5.25;30.5.25;404;275.9;111463,6;On-Time;
117;8;1145;27.6.24;15.7.24;15.7.24;393;288.31;113305,83;On-Time;
118;13;1186;7.2.24;11.2.24;11.2.24;310;39.6;12276;On-Time;
119;15;1027;31.1.24;12.2.24;12.2.24;273;163.72;44695,56;On-Time;
120;14;1089;24.7.25;3.8.25;3.8.25;415;64.09;26597,35;On-Time;
122;1;1183;15.8.25;18.8.25;18.8.25;447;200.06;89426,82;On-Time;
123;10;1151;11.11.24;28.11.24;28.11.24;174;177.32;30853,68;On-Time;
124;10;1132;19.9.24;30.9.24;30.9.24;487;203.16;98938,92;On-Time;
125;2;1096;6.6.24;22.6.24;22.6.24;135;153.98;20787,3;On-Time;
126;20;1039;14.2.25;19.2.25;19.2.25;342;283.58;96984,36;On-Time;
127;6;1139;18.7.25;22.7.25;22.7.25;7;83.88;587,16;On-Time;
128;5;1180;6.12.24;9.12.24;9.12.24;268;37.58;10071,44;On-Time;
129;12;1188;25.6.24;8.7.24;8.7.24;187;116.75;21832,25;On-Time;
130;21;1023;26.1.24;15.2.24;15.2.24;433;107.33;46473,89;On-Time;
132;4;1106;20.3.25;2.4.25;2.4.25;80;56.31;4504,8;On-Time;
133;10;1126;24.5.25;7.6.25;7.6.25;270;166.56;44971,2;On-Time;
134;21;1165;20.11.24;29.11.24;29.11.24;322;122.04;39296,88;On-Time;
135;5;1176;3.8.24;21.8.24;21.8.24;232;138.72;32183,04;On-Time;
137;16;1180;21.5.25;24.5.25;24.5.25;295;220.12;64935,4;On-Time;
138;1;1152;18.8.25;23.8.25;23.8.25;484;60.92;29485,28;On-Time;
139;20;1023;23.12.24;3.1.25;3.1.25;304;171.29;52072,16;On-Time;
140;1;1078;20.6.25;4.7.25;4.7.25;394;28.25;11130,5;On-Time;
141;2;1063;24.6.25;5.7.25;5.7.25;431;275.54;118757,74;On-Time;
142;17;1029;6.6.24;15.6.24;15.6.24;248;237.24;58835,52;On-Time;
143;4;1040;4.6.25;15.6.25;15.6.25;397;223.22;88618,34;On-Time;
144;10;1113;15.6.24;21.6.24;21.6.24;95;120.58;11455,1;On-Time;
146;13;1040;17.7.24;31.7.24;31.7.24;328;62.22;20408,16;On-Time;
148;19;1159;15.12.24;19.12.24;19.12.24;171;155.22;26542,62;On-Time;
149;19;1044;23.6.24;13.7.24;13.7.24;372;58.01;21579,72;On-Time;
150;7;1165;24.7.24;6.8.24;6.8.24;137;59.43;8141,91;On-Time;
151;7;1122;23.3.25;31.3.25;31.3.25;58;216.63;12564,54;On-Time;
152;6;1084;5.12.24;20.12.24;20.12.24;217;108.64;23574,88;On-Time;
156;19;1140;6.1.24;13.1.24;13.1.24;71;149.51;10615,21;On-Time;
157;15;1066;26.3.24;7.4.24;7.4.24;222;217.84;48360,48;On-Time;
158;8;1149;14.9.24;30.9.24;30.9.24;412;197.57;81398,84;On-Time;
159;21;1122;19.1.25;22.1.25;22.1.25;134;172.05;23054,7;On-Time;
161;7;1026;21.3.25;28.3.25;28.3.25;398;144.64;57566,72;On-Time;
162;5;1107;8.4.25;26.4.25;26.4.25;15;185.89;2788,35;On-Time;
165;5;1131;19.11.24;22.11.24;22.11.24;215;228.66;49161,9;On-Time;
166;12;1162;3.6.25;15.6.25;15.6.25;111;117.44;13035,84;On-Time;
168;19;1140;31.5.25;10.6.25;10.6.25;388;279.38;108399,44;On-Time;
169;13;1019;29.6.25;16.7.25;16.7.25;333;227.25;75674,25;On-Time;
171;3;1056;30.6.24;5.7.24;5.7.24;34;274.22;9323,48;On-Time;
172;9;1079;3.1.25;12.1.25;12.1.25;220;48.46;10661,2;On-Time;
173;15;1063;22.5.24;28.5.24;28.5.24;47;19.01;893,47;On-Time;
174;19;1193;10.1.24;21.1.24;21.1.24;263;80.84;21260,92;On-Time;
175;11;1088;29.4.24;5.5.24;5.5.24;99;220.84;21863,16;On-Time;
176;7;1022;14.5.24;20.5.24;20.5.24;109;251.03;27362,27;On-Time;
177;21;1021;10.7.25;22.7.25;22.7.25;87;142.44;12392,28;On-Time;
178;2;1188;22.7.25;10.8.25;10.8.25;387;285.98;110674,26;On-Time;
179;6;1092;12.4.25;23.4.25;23.4.25;35;256.84;8989,4;On-Time;
181;20;1063;13.1.25;23.1.25;23.1.25;229;148.14;33924,06;On-Time;
182;1;1192;29.9.24;10.10.24;10.10.24;321;64.83;20810,43;On-Time;
183;1;1035;27.11.24;4.12.24;4.12.24;164;194.1;31832,4;On-Time;
184;15;1174;16.3.24;2.4.24;2.4.24;385;188.05;72399,25;On-Time;
185;10;1177;4.8.24;23.8.24;23.8.24;154;177.22;27291,88;On-Time;
186;21;1025;14.2.25;4.3.25;4.3.25;87;134.96;11741,52;On-Time;
187;14;1104;10.12.24;29.12.24;29.12.24;132;268.73;35472,36;On-Time;
188;13;1198;29.1.25;12.2.25;12.2.25;186;292.36;54378,96;On-Time;
190;12;1044;5.11.24;22.11.24;22.11.24;137;215.74;29556,38;On-Time;
192;8;1045;20.6.25;28.6.25;28.6.25;430;250.32;107637,6;On-Time;
194;7;1011;16.1.25;21.1.25;21.1.25;232;96.54;22397,28;On-Time;
195;10;1177;3.4.25;9.4.25;9.4.25;304;192.82;58617,28;On-Time;
199;17;1173;18.6.25;7.7.25;7.7.25;185;278.58;51537,3;On-Time;
201;12;1072;1.3.24;5.3.24;5.3.24;63;299.07;18841,41;On-Time;
202;4;1147;2.7.25;7.7.25;7.7.25;489;233.63;114245,07;On-Time;
203;11;1188;8.11.24;26.11.24;26.11.24;212;216.69;45938,28;On-Time;
204;8;1032;12.6.24;29.6.24;29.6.24;27;81.78;2208,06;On-Time;
205;17;1056;17.9.24;29.9.24;29.9.24;402;96.91;38957,82;On-Time;
206;18;1039;4.7.25;23.7.25;23.7.25;230;26.19;6023,7;On-Time;
207;17;1113;28.10.24;9.11.24;9.11.24;205;220.97;45298,85;On-Time;
208;10;1062;16.5.25;22.5.25;22.5.25;186;263.28;48970,08;On-Time;
210;15;1124;24.5.25;13.6.25;13.6.25;105;183.12;19227,6;On-Time;
211;7;1094;22.4.25;7.5.25;7.5.25;360;108.48;39052,8;On-Time;
212;13;1013;17.7.24;26.7.24;26.7.24;336;155.43;52224,48;On-Time;
215;14;1123;19.2.24;10.3.24;10.3.24;296;168.19;49784,24;On-Time;
216;21;1040;7.7.24;22.7.24;22.7.24;175;177.88;31129;On-Time;
218;14;1023;16.9.24;23.9.24;23.9.24;35;155.36;5437,6;On-Time;
219;11;1076;9.3.24;12.3.24;12.3.24;7;178.67;1250,69;On-Time;
220;14;1089;30.1.25;12.2.25;12.2.25;271;206.09;55850,39;On-Time;
221;6;1078;27.5.25;3.6.25;3.6.25;150;104.16;15624;On-Time;
222;18;1016;2.2.25;22.2.25;22.2.25;256;9.46;2421,76;On-Time;
223;15;1155;15.2.25;3.3.25;3.3.25;172;35.97;6186,84;On-Time;
225;5;1037;22.4.25;29.4.25;29.4.25;423;289.97;122657,31;On-Time;
226;17;1175;21.7.25;30.7.25;30.7.25;13;174.23;2264,99;On-Time;
227;14;1087;6.8.24;15.8.24;15.8.24;409;50.63;20707,67;On-Time;
228;9;1038;13.4.24;26.4.24;26.4.24;284;297.75;84561;On-Time;
229;19;1088;5.1.24;14.1.24;14.1.24;72;222.81;16042,32;On-Time;
230;5;1114;1.10.24;18.10.24;18.10.24;487;11.76;5727,12;On-Time;
232;8;1175;29.6.25;10.7.25;10.7.25;468;121.07;56660,76;On-Time;
234;17;1114;26.3.25;14.4.25;14.4.25;389;8.36;3252,04;On-Time;
236;21;1102;8.1.25;26.1.25;26.1.25;362;156.84;56776,08;On-Time;
237;10;1148;20.2.24;3.3.24;3.3.24;286;69.58;19899,88;On-Time;
238;7;1099;23.12.24;28.12.24;28.12.24;241;213.41;51431,81;On-Time;
240;4;1004;18.11.24;27.11.24;27.11.24;346;189.55;65584,3;On-Time;
241;9;1078;18.5.24;22.5.24;22.5.24;16;121.01;1936,16;On-Time;
242;12;1131;20.5.24;3.6.24;3.6.24;150;276.25;41437,5;On-Time;
243;21;1152;6.9.24;9.9.24;9.9.24;478;50.38;24081,64;On-Time;
244;7;1049;14.2.25;3.3.25;3.3.25;123;113.65;13978,95;On-Time;
246;2;1127;19.5.24;30.5.24;30.5.24;465;137.54;63956,1;On-Time;
247;9;1168;7.2.24;19.2.24;19.2.24;249;94.29;23478,21;On-Time;
248;3;1169;3.4.25;8.4.25;8.4.25;278;42.83;11906,74;On-Time;
249;14;1071;22.3.25;6.4.25;6.4.25;23;79.2;1821,6;On-Time;
251;19;1010;30.4.24;20.5.24;20.5.24;484;218.86;105928,24;On-Time;
253;12;1102;19.5.25;4.6.25;4.6.25;323;235.04;75917,92;On-Time;
254;9;1191;26.11.24;4.12.24;4.12.24;491;102.23;50194,93;On-Time;
255;6;1096;27.12.24;3.1.25;3.1.25;35;251.46;8801,1;On-Time;
256;11;1002;26.12.24;13.1.25;13.1.25;457;101.22;46257,54;On-Time;
258;8;1081;12.5.25;25.5.25;25.5.25;335;279.61;93669,35;On-Time;
259;21;1180;21.3.24;9.4.24;9.4.24;227;221.35;50246,45;On-Time;
260;12;1089;26.6.25;2.7.25;2.7.25;191;53.95;10304,45;On-Time;
262;2;1151;25.12.24;14.1.25;14.1.25;177;61.75;10929,75;On-Time;
264;5;1111;16.4.25;4.5.25;4.5.25;366;63.41;23208,06;On-Time;
265;14;1184;6.7.25;12.7.25;12.7.25;497;96.41;47915,77;On-Time;
266;9;1025;2.6.25;6.6.25;6.6.25;386;42.14;16266,04;On-Time;
268;5;1073;2.3.24;17.3.24;17.3.24;106;111.49;11817,94;On-Time;
270;2;1007;6.2.24;13.2.24;13.2.24;45;103.8;4671;On-Time;
271;7;1196;27.7.24;11.8.24;11.8.24;442;221.88;98070,96;On-Time;
272;9;1070;29.11.24;2.12.24;2.12.24;192;291.9;56044,8;On-Time;
275;21;1104;26.1.25;7.2.25;7.2.25;442;196.81;86990,02;On-Time;
276;18;1148;23.4.25;8.5.25;8.5.25;310;238.75;74012,5;On-Time;
